,status_group
19066,functional needs repair
2145,functional
23458,functional
41250,functional
13842,non functional
1699,functional
35580,functional
19706,non functional
12990,functional
16810,non functional
19634,functional
27754,functional
12038,functional
18145,non functional
11823,functional needs repair
36887,functional
52358,non functional
11770,functional
55528,non functional
27473,non functional
52795,non functional
34197,functional needs repair
21835,non functional
50633,functional
51527,non functional
3455,functional
54369,functional
2735,non functional
57477,non functional
24149,functional
18967,functional
16730,non functional
15606,functional
1707,non functional
30793,functional
36543,functional needs repair
56062,functional
54826,functional needs repair
44375,functional
3702,non functional
27116,non functional
57104,non functional
8445,non functional
39702,functional
28617,functional
28472,functional
2094,non functional
19559,non functional
54318,non functional
6029,functional
54660,non functional
58756,functional
35499,functional
36702,functional
5341,functional
51810,non functional
11335,non functional
53849,functional
37009,functional
10417,functional
9043,functional
6682,non functional
31627,non functional
57734,functional
9594,non functional
41391,non functional
5822,functional
44012,functional needs repair
19489,functional needs repair
9020,functional
33891,functional
38655,non functional
53288,functional
5861,functional
48807,non functional
1993,functional
50953,non functional
36466,functional
32869,functional
48078,functional
50703,non functional
30240,functional
47640,non functional
41341,functional needs repair
13504,non functional
32647,non functional
47390,non functional
4325,functional
41082,non functional
9376,functional needs repair
24693,functional
2104,functional
6684,non functional
44416,non functional
6156,functional
10490,functional needs repair
57345,functional
35388,non functional
6046,functional needs repair
53385,functional
28438,non functional
12457,functional
5173,functional
33101,non functional
24615,functional
29933,non functional
14240,non functional
58560,functional
31935,non functional
38503,functional
32354,functional
32659,functional needs repair
54435,functional
50364,functional
46122,functional
1272,non functional
17170,functional
27951,non functional
57622,functional
5100,functional
53910,non functional
31799,functional
19473,functional
13752,non functional
21687,non functional
7611,functional
31920,non functional
36283,functional
6943,non functional
40011,non functional
43538,functional
18063,functional
7677,functional
36555,functional
9608,non functional
10971,functional
21887,functional
37264,non functional
8362,functional
25980,functional
4767,functional
49043,functional
40674,non functional
8812,functional
28752,functional
7125,non functional
14164,functional
3520,functional
5846,functional
58847,functional
51654,non functional
49035,non functional
51719,functional
25627,non functional
56802,non functional
1166,functional
59193,functional
7020,functional needs repair
11281,functional
44407,functional
36471,functional
20199,functional
48800,functional
45976,non functional
9494,non functional
52605,functional
12913,functional
9743,functional
48582,non functional
49935,non functional
16382,functional
27335,functional
7890,non functional
33569,non functional
39192,non functional
18874,functional
13464,non functional
17777,functional
42697,non functional
2485,functional
58285,non functional
36596,functional
41896,functional
57399,non functional
32213,functional
7097,non functional
20696,functional needs repair
44168,functional needs repair
41706,functional
5407,functional needs repair
2348,functional
31049,functional
34848,non functional
45956,non functional
29172,functional
43582,functional
27396,non functional
38771,functional
10873,non functional
24333,non functional
17869,functional
54657,functional
46506,functional needs repair
31005,functional
50319,functional
52555,non functional
11806,functional
37589,functional
11876,functional
12759,functional
52485,functional
55369,functional
2180,functional
35729,non functional
48372,non functional
9084,non functional
31496,non functional
8293,non functional
14673,functional
55787,functional
20999,non functional
25977,functional
28653,functional
53890,functional
11734,functional needs repair
17941,functional
38842,functional needs repair
22125,non functional
46723,functional
17768,functional needs repair
3286,functional
24316,functional
